epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.45039,0,0,7.93612,0,0,0,0,0,0,0,0,0,0,0,15.7149,0,0,0,0
2,2.30918,0,0,7.94021,0,0,0,0,0,0,0,0,0,0,0,15.7205,0,1.41485e-05,1.41485e-05,1.41485e-05
3,3.13642,0,0,7.91847,0,0,0,0,0,0,0,0,0,0,0,15.7261,0,2.80141e-05,2.80141e-05,2.80141e-05
4,3.95326,0,0,7.90612,0,0,0,0,0,0,0,0,0,0,0,15.732,0,4.15968e-05,4.15968e-05,4.15968e-05
5,4.83074,0,0,7.89565,0,0,0,0,0,0,0,0,0,0,0,15.7373,0,5.48965e-05,5.48965e-05,5.48965e-05
6,5.73598,0,0,7.84108,0,0,0,0,0,0,0,0,0,0,0,15.7431,0,6.79132e-05,6.79132e-05,6.79132e-05
7,6.62687,0,0,7.81217,0,0,0,0,0,0,0,0,0,0,0,15.7511,0,8.0647e-05,8.0647e-05,8.0647e-05
8,7.54218,0,0,7.75675,0,0,0,0,0,0,0,0,0,0,0,15.7565,0,9.30979e-05,9.30979e-05,9.30979e-05
9,8.37508,0,0,7.75966,0,0,0,0,0,0,0,0,0,0,0,15.7565,0,0.000105266,0.000105266,0.000105266
10,9.22744,0,0,7.75067,0,0,0,0,0,0,0,0,0,0,0,15.7676,0,0.000117151,0.000117151,0.000117151
11,10.0222,0,0,7.73106,0,0,0,0,0,0,0,0,0,0,0,15.7676,0,0.000128753,0.000128753,0.000128753
12,10.8799,0,0,7.69293,0,0,0,0,0,0,0,0,0,0,0,15.7797,0,0.000140072,0.000140072,0.000140072
13,11.71,0,0,7.6585,0,0,0,0,0,0,0,0,0,0,0,15.7797,0,0.000151108,0.000151108,0.000151108
14,12.6078,0,0,7.64799,0,0,0,0,0,0,0,0,0,0,0,15.7889,0,0.000161861,0.000161861,0.000161861
15,13.4139,0,0,7.63281,0,0,0,0,0,0,0,0,0,0,0,15.7889,0,0.000172332,0.000172332,0.000172332
16,14.2429,0,0,7.62099,0,0,0,0,0,0,0,0,0,0,0,15.7946,0,0.000182519,0.000182519,0.000182519
17,15.0519,0,0,7.5832,0,0,0,0,0,0,0,0,0,0,0,15.7946,0,0.000192423,0.000192423,0.000192423
18,15.9144,0,0,7.57586,0,0,0,0,0,0,0,0,0,0,0,15.7935,0,0.000202045,0.000202045,0.000202045
19,16.7138,0,0,7.52644,0,0,0,0,0,0,0,0,0,0,0,15.7935,0,0.000211383,0.000211383,0.000211383
20,17.5442,0,0,7.51966,0,0,0,0,0,0,0,0,0,0,0,15.7964,0,0.000220439,0.000220439,0.000220439
21,18.3501,0,0,7.45054,0,0,0,0,0,0,0,0,0,0,0,15.7964,0,0.000229212,0.000229212,0.000229212
